Subject ID,Trueblock,Trial type,Group,Accuracy,Reaction time
0B9D1,2,incongruent,A,1,0.34905598
0B9D1,2,congruent,A,1,0.38557797
0B9D1,2,incongruent,A,1,0.3011471
0B9D1,2,congruent,A,1,0.47485232
0B9D1,2,incongruent,A,1,0.33044999
0B9D1,2,congruent,A,1,0.33822984
0B9D1,2,incongruent,A,1,0.4784921
0B9D1,2,congruent,A,1,0.49612454
0B9D1,2,congruent,A,1,0.35072803
0B9D1,2,incongruent,A,1,0.31407889
0B9D1,2,incongruent,A,1,0.28956721
0B9D1,2,congruent,A,1,0.3895081
0B9D1,3,congruent,A,1,0.51523365
0B9D1,3,congruent,A,1,0.31252962
0B9D1,3,incongruent,A,1,0.43331616
0B9D1,3,incongruent,A,1,0.30607802
0B9D1,3,congruent,A,1,0.3540297
0B9D1,3,incongruent,A,1,0.35155932
0B9D1,3,congruent,A,1,0.31365257
0B9D1,3,congruent,A,1,0.29734582
0B9D1,3,incongruent,A,1,0.31466525
0B9D1,3,congruent,A,1,0.29829409
0B9D1,3,incongruent,A,1,0.31693194
1BCD6,2,incongruent,A,1,0.48677958
1BCD6,2,congruent,A,1,0.38107
1BCD6,2,congruent,A,1,0.32900212
1BCD6,2,incongruent,A,1,0.38415455
1BCD6,2,congruent,A,1,0.36846782
1BCD6,2,congruent,A,1,0.34587271
1BCD6,2,incongruent,A,1,0.52955222
1BCD6,2,congruent,A,1,0.38776382
1BCD6,2,incongruent,A,1,0.44691345
1BCD6,2,incongruent,A,1,0.30950227
1BCD6,2,congruent,A,1,0.36629979
1BCD6,2,incongruent,A,1,0.43875882
1BCD6,3,congruent,A,1,0.29475552
1BCD6,3,incongruent,A,1,0.37649439
1BCD6,3,incongruent,A,1,0.3618442
1BCD6,3,incongruent,A,1,0.37498936
1BCD6,3,incongruent,A,1,0.39649566
1BCD6,3,congruent,A,1,0.37499369
1BCD6,3,congruent,A,1,0.33997372
1BCD6,3,congruent,A,1,0.43919355
1BCD6,3,congruent,A,1,0.30634344
1BCD6,3,incongruent,A,1,0.32894881
1BCD6,3,incongruent,A,1,0.33085147
1BCD6,3,congruent,A,1,0.32388809
1B2CD,2,incongruent,A,1,0.37309059
1B2CD,2,congruent,A,1,0.44583273
1B2CD,2,congruent,A,1,0.27209257
1B2CD,2,incongruent,A,1,0.35645079
1B2CD,2,incongruent,A,1,0.34550169
1B2CD,2,incongruent,A,1,0.31970597
1B2CD,2,incongruent,A,1,0.31019222
1B2CD,2,congruent,A,1,0.31778296
1B2CD,2,congruent,A,1,0.30090128
1B2CD,2,congruent,A,1,0.30337583
1B2CD,2,incongruent,A,1,0.3117287
1B2CD,3,incongruent,A,1,0.34342626
1B2CD,3,congruent,A,1,0.35767134
1B2CD,3,incongruent,A,1,0.41871082
1B2CD,3,incongruent,A,1,0.3890952
1B2CD,3,congruent,A,1,0.33456027
1B2CD,3,congruent,A,1,0.34956897
1B2CD,3,incongruent,A,1,0.37610835
1B2CD,3,congruent,A,1,0.42505612
1B2CD,3,congruent,A,1,0.40374299
1B2CD,3,incongruent,A,1,0.40527987
1B2CD,3,congruent,A,1,0.38481478
1B2CD,3,incongruent,A,1,0.43910075
0485F,2,congruent,A,1,0.32643224
0485F,2,congruent,A,1,0.40316861
0485F,2,congruent,A,1,0.34302227
0485F,2,incongruent,A,1,0.53544212
0485F,2,incongruent,A,1,0.3715497
0485F,2,incongruent,A,1,0.44797678
0485F,2,congruent,A,1,0.40255116
0485F,2,incongruent,A,1,0.47234685
0485F,2,congruent,A,1,0.42790185
0485F,2,incongruent,A,1,0.44173844
0485F,2,incongruent,A,1,0.44055206
0485F,2,congruent,A,1,0.48606638
0485F,3,incongruent,A,1,0.39723498
0485F,3,congruent,A,1,0.35258617
0485F,3,incongruent,A,1,0.39809098
0485F,3,incongruent,A,1,0.36079259
0485F,3,incongruent,A,1,0.39773679
0485F,3,incongruent,A,1,0.39425799
0485F,3,congruent,A,1,0.40115787
0485F,3,congruent,A,1,0.44103251
0485F,3,congruent,A,1,0.38799978
0485F,3,congruent,A,1,0.49152041
0485F,3,incongruent,A,1,0.41029008
0485F,3,congruent,A,1,0.35638103
192D1,2,incongruent,A,1,0.33126388
